positionX,positionY,start,end
1,1,20240217 14:37:00,20240217 14:38:00
1,2,20240217 14:38:20,20240217 14:39:20
1,3,20240217 14:39:40,20240217 14:40:40
1,4,20240217 14:41:00,20240217 14:42:00
1,5,20240217 14:42:20,20240217 14:43:20
1,6,20240217 14:43:40,20240217 14:44:40
1,7,20240217 14:45:00,20240217 14:46:00
1,8,20240217 14:46:20,20240217 14:47:20
1,9,20240217 14:47:40,20240217 14:48:40
1,10,20240217 14:49:00,20240217 14:50:00
6,1,20240217 14:50:30,20240217 14:51:30
6,2,20240217 14:51:50,20240217 14:52:50
6,3,20240217 14:53:10,20240217 14:54:10
6,4,20240217 14:54:30,20240217 14:55:30
6,5,20240217 14:55:50,20240217 14:56:50
6,6,20240217 14:57:10,20240217 14:58:10
6,7,20240217 14:58:30,20240217 14:59:30
6,8,20240217 14:59:50,20240217 15:00:50
6,9,20240217 15:01:10,20240217 15:02:10
6,10,20240217 15:02:30,20240217 15:03:30
11,1,20240217 15:04:00,20240217 15:05:00
11,2,20240217 15:05:20,20240217 15:06:20
11,3,20240217 15:06:40,20240217 15:07:40
11,4,20240217 15:08:00,20240217 15:09:00
11,5,20240217 15:09:20,20240217 15:10:20
11,6,20240217 15:10:40,20240217 15:11:40
11,7,20240217 15:12:00,20240217 15:13:00
11,8,20240217 15:13:20,20240217 15:14:20
11,9,20240217 15:14:40,20240217 15:15:40
11,10,20240217 15:16:00,20240217 15:17:00
1,11,20240217 15:40:10,20240217 15:41:10
2,11,20240217 15:41:30,20240217 15:42:30
3,11,20240217 15:42:50,20240217 15:43:50
4,11,20240217 15:44:10,20240217 15:45:10
5,11,20240217 15:45:30,20240217 15:46:30
6,11,20240217 15:46:50,20240217 15:47:50
7,11,20240217 15:48:10,20240217 15:49:10
8,11,20240217 15:49:30,20240217 15:50:30
9,11,20240217 15:50:50,20240217 15:51:50
10,11,20240217 15:52:10,20240217 15:53:10
11,11,20240217 15:53:30,20240217 15:54:30
