Time,UUID,RSSI
20231101 11:14:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-50
20231101 11:14:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-60
20231101 11:14:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62
20231101 11:14:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-66
20231101 11:14:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73
20231101 11:14:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75
20231101 11:14:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79
20231101 11:14:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-50
20231101 11:14:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-60
20231101 11:14:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62
20231101 11:14:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74
20231101 11:14:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75
20231101 11:14:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79
20231101 11:14:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-88
20231101 11:14:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-58
20231101 11:14:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62
20231101 11:14:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64
20231101 11:14:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74
20231101 11:14:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75
20231101 11:14:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79
20231101 11:14:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-88
20231101 11:14:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-58
20231101 11:14:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62
20231101 11:14:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64
20231101 11:14:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-69
20231101 11:14:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74
20231101 11:14:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79
20231101 11:14:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-88
20231101 11:14:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-58
20231101 11:14:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62
20231101 11:14:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64
20231101 11:14:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-69
20231101 11:14:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74
20231101 11:14:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-80
20231101 11:14:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-88
20231101 11:14:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-58
20231101 11:14:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62
