Timestamp,linacce_x,linacce_y,linacce_z,gyro_x,gyro_y,gyro_z,X-magnetometer,Y-magnetometer,Z-magnetometer,Yaw, worldXAccel,worldYAccel,worldZAccel,worldXgyro,worldYgyro,worldZgyro,Distance
20240115 08:32:59,-1.078965,-0.200891,0.044428,-0.019173,0.051511,-0.024716,2.332775,-11.619732,-15.855362,16.10799,-0.46989104,-0.35906377,0.97601753,-0.042593792,0.0526247,-0.0031135809,0.009
20240115 08:32:59,-1.048746,0.177999,-0.331665,0.088427,0.007832,0.04027,2.808239,-11.390396,-16.267517,12.58061,-0.8132391,0.11415978,0.7612582,0.0730935,0.009039357,-0.06092626,0.009
20240115 08:32:59,-0.770413,0.759094,-0.975797,0.175786,0.018485,0.128694,3.242226,-11.461742,-15.454712,3.5276036,-1.3391273,0.88553166,0.32674363,0.17786454,0.005075995,-0.11451454,0.009
20240115 08:32:59,-0.594474,0.980274,-1.163361,0.2184,0.070688,0.214987,2.605656,-11.691914,-15.981903,4.7177753,-1.4706813,1.1473205,0.12061876,0.2589819,0.04211208,-0.1311858,0.009
20240115 08:32:59,-0.294644,1.29794,-1.541923,0.203485,0.144197,0.284235,2.70504,-11.030476,-15.488205,-2.0072858,-1.723402,1.4858515,-0.17676628,0.30980307,0.11210209,-0.105334096,0.009
20240115 08:32:59,-0.004126,1.398789,-1.7885,0.053271,0.243274,0.338568,3.160774,-11.933144,-15.960632,-9.938643,-1.80004,1.5068896,-0.42572767,0.32402363,0.22270441,0.055026717,0.009
20240115 08:32:59,0.252645,1.346635,-1.946651,-0.029826,0.265646,0.335372,3.33942,-11.550385,-15.313995,-18.285715,-1.7648087,1.2877705,-0.63096416,0.3221363,0.2754517,0.13799226,0.009
20240115 08:32:59,0.474128,1.243348,-2.002692,-0.240765,0.306129,0.288496,3.081898,-11.846352,-15.833115,-21.736784,-1.6664438,1.0379047,-0.845149,0.23728527,0.33809438,0.33742952,0.009
20240115 08:32:59,0.551467,1.13905,-1.883464,-0.48473,0.33809,0.19155,3.135685,-11.276234,-15.869797,-21.030413,-1.5310062,0.98402476,-0.94221485,0.05631247,0.3627586,0.5538447,0.009
20240115 08:32:59,0.394999,0.903698,-1.505356,-0.813923,0.355135,0.014702,3.269123,-11.176682,-15.473053,-13.149373,-1.2684993,0.99785125,-0.86833906,-0.33406696,0.3331862,0.7834876,0.009
