positionX,positionY,start,end
1,1,20240517 14:48:30,20240517 14:49:30
1,2,20240517 14:49:50,20240517 14:50:50
1,3,20240517 14:51:10,20240517 14:52:10
1,4,20240517 14:52:30,20240517 14:53:30
1,5,20240517 14:53:50,20240517 14:54:50
1,6,20240517 14:55:10,20240517 14:56:10
1,7,20240517 14:56:30,20240517 14:57:30
1,8,20240517 14:57:50,20240517 14:58:50
1,9,20240517 14:59:10,20240517 15:00:10
1,10,20240517 15:00:30,20240517 15:01:30
6,1,20240517 15:02:00,20240517 15:03:00
6,2,20240517 15:03:20,20240517 15:04:20
6,3,20240517 15:07:30,20240517 15:08:30
6,4,20240517 15:08:50,20240517 15:09:50
6,5,20240517 15:10:10,20240517 15:11:10
6,6,20240517 15:11:30,20240517 15:12:30
6,7,20240517 15:12:50,20240517 15:13:50
6,8,20240517 15:14:10,20240517 15:15:10
6,9,20240517 15:17:30,20240517 15:18:30
6,10,20240517 15:18:50,20240517 15:19:50
11,1,20240517 15:20:20,20240517 15:21:20
11,2,20240517 15:21:40,20240517 15:22:40
11,3,20240517 15:23:00,20240517 15:24:00
11,4,20240517 15:24:20,20240517 15:25:20
11,5,20240517 15:25:40,20240517 15:26:40
11,6,20240517 15:27:00,20240517 15:28:00
11,7,20240517 15:28:50,20240517 15:29:50
11,8,20240517 15:30:10,20240517 15:31:10
11,9,20240517 15:31:30,20240517 15:32:30
11,10,20240517 15:34:00,20240517 15:35:00
1,11,20240517 15:35:30,20240517 15:36:30
2,11,20240517 15:36:50,20240517 15:37:50
3,11,20240517 15:38:10,20240517 15:39:10
4,11,20240517 15:39:30,20240517 15:40:30
5,11,20240517 15:40:50,20240517 15:41:50
6,11,20240517 15:42:10,20240517 15:43:10
7,11,20240517 15:43:30,20240517 15:44:30
8,11,20240517 15:44:50,20240517 15:45:50
9,11,20240517 15:46:10,20240517 15:47:10
10,11,20240517 15:47:30,20240517 15:48:30
11,11,20240517 15:48:50,20240517 15:49:50
