positionX,positionY,start,end
11,1,20240312 14:43:29,20240312 14:43:32
11,7,20240312 14:43:33,20240312 14:43:36
9,11,20240312 14:43:37,20240312 14:43:40
6,11,20240312 14:43:41,20240312 14:43:44
6,5,20240312 14:43:45,20240312 14:43:48
6,1,20240312 14:43:49,20240312 14:43:52
6,1,20240312 14:43:53,20240312 14:43:56
