positionX,positionY,start,end
1,1,20240117 13:57:00,20240117 13:59:00
1,2,20240117 13:59:30,20240117 14:01:30
1,3,20240117 14:02:00,20240117 14:04:00
1,4,20240117 14:04:30,20240117 14:06:30
1,5,20240117 14:07:00,20240117 14:09:00
1,6,20240117 14:09:30,20240117 14:11:30
1,7,20240117 14:12:00,20240117 14:14:00
1,8,20240117 14:14:30,20240117 14:16:30
1,9,20240117 14:17:00,20240117 14:19:00
1,10,20240117 14:19:30,20240117 14:21:30
6,1,20240117 14:27:30,20240117 14:29:30
6,2,20240117 14:30:00,20240117 14:32:00
6,3,20240117 14:32:30,20240117 14:34:30
6,4,20240117 14:35:00,20240117 14:37:00
6,5,20240117 14:37:30,20240117 14:39:30
6,6,20240117 14:40:00,20240117 14:42:00
6,7,20240117 14:42:30,20240117 14:44:30
6,8,20240117 14:45:00,20240117 14:47:00
6,9,20240117 14:47:30,20240117 14:49:30
6,10,20240117 14:50:00,20240117 14:52:00
11,1,20240117 14:56:00,20240117 14:58:00
11,2,20240117 14:58:30,20240117 15:00:30
11,3,20240117 15:01:00,20240117 15:03:00
11,4,20240117 15:03:30,20240117 15:05:30
11,5,20240117 15:06:00,20240117 15:08:00
11,6,20240117 15:08:30,20240117 15:10:30
11,7,20240117 15:11:00,20240117 15:13:00
11,8,20240117 15:13:30,20240117 15:15:30
11,9,20240117 15:16:00,20240117 15:18:00
11,10,20240117 15:18:30,20240117 15:20:30
1,11,20240117 15:25:00,20240117 15:27:00
2,11,20240117 15:27:30,20240117 15:29:30
3,11,20240117 15:30:00,20240117 15:32:00
4,11,20240117 15:32:30,20240117 15:34:30
5,11,20240117 15:35:00,20240117 15:37:00
6,11,20240117 15:37:30,20240117 15:39:30
7,11,20240117 15:40:00,20240117 15:42:00
8,11,20240117 15:42:30,20240117 15:44:30
9,11,20240117 15:45:00,20240117 15:47:00
10,11,20240117 15:47:30,20240117 15:49:30
11,11,20240117 15:50:00,20240117 15:52:00
