positionX,positionY,start,end
1,1,20240217 13:21:40,20240217 13:22:40
1,2,20240217 13:23:00,20240217 13:24:00
1,3,20240217 13:24:20,20240217 13:25:20
1,4,20240217 13:25:40,20240217 13:26:40
1,5,20240217 13:27:00,20240217 13:28:00
1,6,20240217 13:28:20,20240217 13:29:20
1,7,20240217 13:29:40,20240217 13:30:40
1,8,20240217 13:31:00,20240217 13:32:00
1,9,20240217 13:32:20,20240217 13:33:20
1,10,20240217 13:33:40,20240217 13:34:40
6,1,20240217 13:35:10,20240217 13:36:10
6,2,20240217 13:36:30,20240217 13:37:30
6,3,20240217 13:37:50,20240217 13:38:50
6,4,20240217 13:39:10,20240217 13:40:10
6,5,20240217 13:40:30,20240217 13:41:30
6,6,20240217 13:41:50,20240217 13:42:50
6,7,20240217 13:43:10,20240217 13:44:10
6,8,20240217 13:44:30,20240217 13:45:30
6,9,20240217 13:45:50,20240217 13:46:50
6,10,20240217 13:47:10,20240217 13:48:10
11,1,20240217 13:49:00,20240217 13:50:00
11,2,20240217 13:50:20,20240217 13:51:20
11,3,20240217 13:51:40,20240217 13:52:40
11,4,20240217 13:53:00,20240217 13:54:00
11,5,20240217 13:54:20,20240217 13:55:20
11,6,20240217 13:55:40,20240217 13:56:40
11,7,20240217 13:57:00,20240217 13:58:00
11,8,20240217 13:58:20,20240217 13:59:20
11,9,20240217 13:59:40,20240217 14:00:40
11,10,20240217 14:01:00,20240217 14:02:00
1,11,20240217 14:02:30,20240217 14:03:30
2,11,20240217 14:03:50,20240217 14:04:50
3,11,20240217 14:05:10,20240217 14:06:10
4,11,20240217 14:06:30,20240217 14:07:30
5,11,20240217 14:07:50,20240217 14:08:50
6,11,20240217 14:09:10,20240217 14:10:10
7,11,20240217 14:10:30,20240217 14:11:30
8,11,20240217 14:11:50,20240217 14:12:50
9,11,20240217 14:13:10,20240217 14:14:10
10,11,20240217 14:14:30,20240217 14:15:30
11,11,20240217 14:15:50,20240217 14:16:50
