label,Beacon_1,Beacon_2,Beacon_3,Beacon_4,Beacon_5,Beacon_6,Beacon_7
11.0,0.475,0.6458333333333334,0.5675675675675675,0.95,0.2051282051282051,0.5306122448979592,0.6981132075471698
12.0,0.4,0.2708333333333333,0.7567567567567568,0.9,0.3846153846153846,0.2448979591836734,0.5471698113207547
13.0,0.625,0.6875,0.3783783783783784,0.625,0.1538461538461538,0.4081632653061224,0.8301886792452831
14.0,0.5,0.7916666666666666,0.5945945945945946,0.85,0.282051282051282,0.2857142857142857,0.8490566037735849
15.0,0.575,0.6666666666666666,0.054054054054054,0.65,0.4615384615384615,0.4285714285714285,0.9433962264150944
16.0,0.65,0.5,0.3783783783783784,0.675,0.5128205128205128,0.2857142857142857,0.9716981132075472
17.0,0.575,0.5625,0.4054054054054054,0.625,0.4358974358974359,0.2040816326530612,0.9245283018867924
18.0,0.65,0.6458333333333334,0.3243243243243243,0.7,0.4615384615384615,0.1428571428571428,0.7924528301886793
19.0,0.575,0.5,0.7297297297297297,0.75,0.4615384615384615,0.2857142857142857,0.8113207547169812
20.0,0.6,0.5833333333333334,0.8648648648648649,0.75,0.282051282051282,0.3265306122448979,0.7924528301886793
36.0,0.575,0.4791666666666667,0.7837837837837838,0.6,0.5384615384615384,0.2244897959183673,0.7358490566037735
36.0,0.575,0.4791666666666667,0.7837837837837838,0.6,0.5384615384615384,0.2244897959183673,0.7358490566037735
37.0,0.55,0.513888888888889,0.4324324324324324,0.65,0.8717948717948718,0.3061224489795918,0.7169811320754716
38.0,0.625,0.3125,0.6486486486486487,0.0,0.9487179487179488,0.4081632653061224,0.5283018867924528
39.0,0.5,0.5208333333333334,0.8648648648648649,0.525,1.0,0.3265306122448979,0.6037735849056604
40.0,0.525,0.5208333333333334,0.8108108108108109,0.325,0.717948717948718,0.5102040816326531,0.4150943396226415
41.0,0.475,0.3333333333333333,0.5135135135135135,0.6,0.5384615384615384,0.5306122448979592,0.5471698113207547
41.0,0.475,0.3333333333333333,0.5135135135135135,0.6,0.5384615384615384,0.5306122448979592,0.5471698113207547
30.0,0.525,0.2291666666666666,0.4594594594594595,0.425,0.5384615384615384,0.4081632653061224,0.4150943396226415
29.0,0.5,0.375,0.4864864864864865,0.5,0.4871794871794871,0.6122448979591837,0.5471698113207547
28.0,0.375,0.4791666666666667,0.4324324324324324,0.6,0.5641025641025641,0.4489795918367347,0.3773584905660377
27.0,0.375,0.6041666666666666,0.3513513513513513,0.525,0.717948717948718,0.673469387755102,0.5
26.0,0.4666666666666668,0.3541666666666667,0.4054054054054054,0.6,0.5897435897435898,0.7142857142857143,0.3584905660377358
25.0,0.325,0.5,0.4324324324324324,0.6,0.4615384615384615,0.5918367346938775,0.3962264150943396
24.0,0.05,0.5208333333333334,0.3513513513513513,0.525,0.6153846153846154,0.6530612244897959,0.3584905660377358
23.0,0.35,0.5833333333333334,0.4054054054054054,0.7,0.4871794871794871,0.6530612244897959,0.2452830188679245
22.0,0.35,0.5208333333333334,0.4324324324324324,0.475,0.358974358974359,0.7551020408163265,0.3018867924528302
21.0,0.15,0.5833333333333334,0.1351351351351351,0.75,0.4102564102564102,0.9591836734693876,0.4150943396226415
21.0,0.15,0.5833333333333334,0.1351351351351351,0.75,0.4102564102564102,0.9591836734693876,0.4150943396226415
22.0,0.35,0.5208333333333334,0.4324324324324324,0.475,0.358974358974359,0.7551020408163265,0.3018867924528302
23.0,0.35,0.5833333333333334,0.4054054054054054,0.7,0.4871794871794871,0.6530612244897959,0.2452830188679245
24.0,0.05,0.5208333333333334,0.3513513513513513,0.525,0.6153846153846154,0.6530612244897959,0.3584905660377358
25.0,0.325,0.5,0.4324324324324324,0.6,0.4615384615384615,0.5918367346938775,0.3962264150943396
26.0,0.4666666666666668,0.3541666666666667,0.4054054054054054,0.6,0.5897435897435898,0.7142857142857143,0.3584905660377358
27.0,0.375,0.6041666666666666,0.3513513513513513,0.525,0.717948717948718,0.673469387755102,0.5
28.0,0.375,0.4791666666666667,0.4324324324324324,0.6,0.5641025641025641,0.4489795918367347,0.3773584905660377
29.0,0.5,0.375,0.4864864864864865,0.5,0.4871794871794871,0.6122448979591837,0.5471698113207547
30.0,0.525,0.2291666666666666,0.4594594594594595,0.425,0.5384615384615384,0.4081632653061224,0.4150943396226415
41.0,0.475,0.3333333333333333,0.5135135135135135,0.6,0.5384615384615384,0.5306122448979592,0.5471698113207547
41.0,0.475,0.3333333333333333,0.5135135135135135,0.6,0.5384615384615384,0.5306122448979592,0.5471698113207547
40.0,0.525,0.5208333333333334,0.8108108108108109,0.325,0.717948717948718,0.5102040816326531,0.4150943396226415
39.0,0.5,0.5208333333333334,0.8648648648648649,0.525,1.0,0.3265306122448979,0.6037735849056604
38.0,0.625,0.3125,0.6486486486486487,0.0,0.9487179487179488,0.4081632653061224,0.5283018867924528
37.0,0.55,0.513888888888889,0.4324324324324324,0.65,0.8717948717948718,0.3061224489795918,0.7169811320754716
36.0,0.575,0.4791666666666667,0.7837837837837838,0.6,0.5384615384615384,0.2244897959183673,0.7358490566037735
36.0,0.575,0.4791666666666667,0.7837837837837838,0.6,0.5384615384615384,0.2244897959183673,0.7358490566037735
20.0,0.6,0.5833333333333334,0.8648648648648649,0.75,0.282051282051282,0.3265306122448979,0.7924528301886793
19.0,0.575,0.5,0.7297297297297297,0.75,0.4615384615384615,0.2857142857142857,0.8113207547169812
18.0,0.65,0.6458333333333334,0.3243243243243243,0.7,0.4615384615384615,0.1428571428571428,0.7924528301886793
17.0,0.575,0.5625,0.4054054054054054,0.625,0.4358974358974359,0.2040816326530612,0.9245283018867924
16.0,0.65,0.5,0.3783783783783784,0.675,0.5128205128205128,0.2857142857142857,0.9716981132075472
15.0,0.575,0.6666666666666666,0.054054054054054,0.65,0.4615384615384615,0.4285714285714285,0.9433962264150944
14.0,0.5,0.7916666666666666,0.5945945945945946,0.85,0.282051282051282,0.2857142857142857,0.8490566037735849
13.0,0.625,0.6875,0.3783783783783784,0.625,0.1538461538461538,0.4081632653061224,0.8301886792452831
12.0,0.4,0.2708333333333333,0.7567567567567568,0.9,0.3846153846153846,0.2448979591836734,0.5471698113207547
11.0,0.475,0.6458333333333334,0.5675675675675675,0.95,0.2051282051282051,0.5306122448979592,0.6981132075471698
