label,Beacon_1,Beacon_2,Beacon_3,Beacon_4,Beacon_5,Beacon_6,Beacon_7
12.0,0.5909090909090909,0.9473684210526316,0.627906976744186,0.7875,0.1794871794871795,0.7272727272727273,0.8222222222222222
15.0,0.3181818181818182,0.6578947368421053,0.5348837209302325,0.825,0.2051282051282051,0.5151515151515151,0.8222222222222222
18.0,0.4545454545454545,0.5263157894736842,0.7441860465116279,0.825,0.5384615384615384,0.3939393939393939,0.8444444444444444
36.0,0.7272727272727273,0.4473684210526316,0.7674418604651163,0.85,0.9230769230769232,0.5454545454545454,0.6222222222222222
36.0,0.7272727272727273,0.4473684210526316,0.7674418604651163,0.85,0.9230769230769232,0.5454545454545454,0.6222222222222222
39.0,0.5909090909090909,0.4210526315789473,0.5813953488372093,0.65,0.9230769230769232,0.6666666666666666,0.3777777777777777
41.0,0.6590909090909091,0.3421052631578947,0.5697674418604651,0.425,0.6923076923076923,0.8181818181818182,0.1333333333333333
41.0,0.6590909090909091,0.3421052631578947,0.5697674418604651,0.425,0.6923076923076923,0.8181818181818182,0.1333333333333333
38.0,0.5681818181818182,0.4210526315789473,0.7906976744186046,0.675,0.9487179487179488,0.4545454545454545,0.6
36.0,0.7272727272727273,0.4473684210526316,0.7674418604651163,0.85,0.9230769230769232,0.5454545454545454,0.6222222222222222
33.0,0.5681818181818182,0.4736842105263157,0.9534883720930232,0.5,0.8461538461538461,0.5151515151515151,0.4888888888888889
31.0,0.8636363636363636,0.6578947368421053,0.5813953488372093,0.48125,0.6153846153846154,0.6363636363636364,0.5111111111111111
31.0,0.8636363636363636,0.6578947368421053,0.5813953488372093,0.48125,0.6153846153846154,0.6363636363636364,0.5111111111111111
8.0,0.7272727272727273,1.0,0.6976744186046512,0.475,0.6153846153846154,0.4848484848484848,0.5777777777777777
5.0,0.5681818181818182,0.9736842105263158,0.2790697674418604,0.525,0.4102564102564102,0.3939393939393939,0.5111111111111111
2.0,0.5227272727272727,0.6842105263157895,0.4883720930232558,0.5,0.4102564102564102,0.3553719008264465,0.5777777777777777
