Bin Edges,ee
0.0,0.5
0.1,0.5
0.2,0.5
0.30000000000000004,0.5
0.4,0.5
0.5,0.6999999999999998
0.6000000000000001,0.6999999999999998
0.7000000000000001,0.6999999999999998
0.8,0.7249999999999999
0.9,0.7249999999999999
1.0,0.7249999999999999
1.1,0.8749999999999997
1.2000000000000002,0.8749999999999997
1.3,0.8749999999999997
1.4000000000000001,0.8749999999999997
1.5,0.8749999999999997
1.6,0.8749999999999997
1.7000000000000002,0.8749999999999997
1.8,0.9249999999999997
1.9000000000000001,0.9249999999999997
2.0,0.9249999999999997
2.1,0.9499999999999997
2.2,0.9499999999999997
2.3000000000000003,0.9499999999999997
2.4000000000000004,0.9499999999999997
2.5,0.9499999999999997
2.6,0.9499999999999997
2.7,0.9499999999999997
2.8000000000000003,0.9499999999999997
2.9000000000000004,0.9499999999999997
3.0,0.9749999999999996
3.1,0.9749999999999996
3.2,0.9749999999999996
3.3000000000000003,0.9999999999999997
3.4000000000000004,0.9999999999999997
3.5,0.9999999999999997
3.6,0.9999999999999997
3.7,0.9999999999999997
3.8000000000000003,0.9999999999999997
3.9000000000000004,0.9999999999999997
4.0,0.9999999999999997
4.1000000000000005,0.9999999999999997
4.2,0.9999999999999997
4.3,0.9999999999999997
4.4,0.9999999999999997
4.5,0.9999999999999997
4.6000000000000005,0.9999999999999997
4.7,0.9999999999999997
4.800000000000001,0.9999999999999997
4.9,0.9999999999999997
