positionX,positionY,start,end
6,1,20240312 14:28:00,20240312 14:28:03
6,4,20240312 14:28:04,20240312 14:28:07
6,10,20240312 14:28:08,20240312 14:28:11
6,5,20240312 14:28:12,20240312 14:28:15
1,5,20240312 14:28:16,20240312 14:28:19
1,1,20240312 14:28:20,20240312 14:28:23
1,1,20240312 14:28:24,20240312 14:28:27
