Bin Edges,ff
0.0,0.7000000000000001
0.1,0.7000000000000001
0.2,0.7000000000000001
0.30000000000000004,0.7000000000000001
0.4,0.7000000000000001
0.5,0.8749999999999999
0.6000000000000001,0.8749999999999999
0.7000000000000001,0.8749999999999999
0.8,0.8999999999999999
0.9,0.8999999999999999
1.0,0.8999999999999999
1.1,0.9749999999999999
1.2000000000000002,0.9749999999999999
1.3,0.9749999999999999
1.4000000000000001,0.9749999999999999
1.5,0.9749999999999999
1.6,0.9749999999999999
1.7000000000000002,0.9749999999999999
1.8,0.9749999999999999
1.9000000000000001,0.9749999999999999
2.0,0.9749999999999999
2.1,0.9749999999999999
2.2,0.9749999999999999
2.3000000000000003,0.9749999999999999
2.4000000000000004,0.9749999999999999
2.5,0.9749999999999999
2.6,0.9749999999999999
2.7,0.9749999999999999
2.8000000000000003,0.9749999999999999
2.9000000000000004,0.9749999999999999
3.0,0.9999999999999999
3.1,0.9999999999999999
3.2,0.9999999999999999
3.3000000000000003,0.9999999999999999
3.4000000000000004,0.9999999999999999
3.5,0.9999999999999999
3.6,0.9999999999999999
3.7,0.9999999999999999
3.8000000000000003,0.9999999999999999
3.9000000000000004,0.9999999999999999
4.0,0.9999999999999999
4.1000000000000005,0.9999999999999999
4.2,0.9999999999999999
4.3,0.9999999999999999
4.4,0.9999999999999999
4.5,0.9999999999999999
4.6000000000000005,0.9999999999999999
4.7,0.9999999999999999
4.800000000000001,0.9999999999999999
4.9,0.9999999999999999
