Bin Start,Bin End,Count Data 1,Count Data 2
-84.0,-83.46666666666667,1.0,1.0
-83.46666666666667,-82.93333333333334,2.0,2.0
-82.93333333333334,-82.4,0.0,0.0
-82.4,-81.86666666666666,1.0,6.0
-81.86666666666666,-81.33333333333333,0.0,0.0
-81.33333333333333,-80.8,7.0,11.0
-80.8,-80.26666666666667,10.0,0.0
-80.26666666666667,-79.73333333333333,0.0,7.0
-79.73333333333333,-79.2,8.0,0.0
-79.2,-78.66666666666667,0.0,14.0
-78.66666666666667,-78.13333333333334,4.0,0.0
-78.13333333333334,-77.6,0.0,6.0
-77.6,-77.06666666666666,12.0,0.0
-77.06666666666666,-76.53333333333333,5.0,12.0
-76.53333333333333,-76.0,0.0,0.0
-76.0,-75.46666666666667,4.0,4.0
-75.46666666666667,-74.93333333333334,0.0,5.0
-74.93333333333334,-74.4,7.0,0.0
-74.4,-73.86666666666667,16.0,6.0
-73.86666666666667,-73.33333333333333,0.0,0.0
-73.33333333333333,-72.8,17.0,1.0
-72.8,-72.26666666666667,0.0,0.0
-72.26666666666667,-71.73333333333333,23.0,0.0
-71.73333333333333,-71.2,0.0,0.0
-71.2,-70.66666666666667,4.0,6.0
-70.66666666666667,-70.13333333333333,10.0,0.0
-70.13333333333333,-69.6,0.0,15.0
-69.6,-69.06666666666666,12.0,0.0
-69.06666666666666,-68.53333333333333,0.0,8.0
-68.53333333333333,-68.0,8.0,0.0
-68.0,-67.46666666666667,10.0,19.0
-67.46666666666667,-66.93333333333334,0.0,9.0
-66.93333333333334,-66.4,10.0,0.0
-66.4,-65.86666666666667,0.0,18.0
-65.86666666666667,-65.33333333333333,28.0,0.0
-65.33333333333333,-64.8,0.0,14.0
-64.8,-64.26666666666667,12.0,0.0
-64.26666666666667,-63.733333333333334,9.0,2.0
-63.733333333333334,-63.2,0.0,0.0
-63.2,-62.66666666666667,6.0,19.0
-62.66666666666667,-62.13333333333333,0.0,0.0
-62.13333333333333,-61.6,2.0,9.0
-61.6,-61.06666666666666,8.0,0.0
-61.06666666666666,-60.53333333333333,0.0,16.0
-60.53333333333333,-60.0,3.0,0.0
-60.0,-59.46666666666667,0.0,9.0
-59.46666666666667,-58.93333333333334,0.0,9.0
-58.93333333333334,-58.4,0.0,0.0
-58.4,-57.86666666666667,0.0,2.0
-57.86666666666667,-57.33333333333333,2.0,0.0
-57.33333333333333,-56.8,0.0,0.0
-56.8,-56.266666666666666,16.0,0.0
-56.266666666666666,-55.733333333333334,0.0,0.0
-55.733333333333334,-55.2,0.0,0.0
-55.2,-54.66666666666667,2.0,4.0
-54.66666666666667,-54.13333333333333,0.0,0.0
-54.13333333333333,-53.6,1.0,7.0
-53.6,-53.06666666666666,0.0,0.0
-53.06666666666666,-52.53333333333333,13.0,6.0
-52.53333333333333,-52.0,6.0,5.0
