positionX,positionY,start,end
11,1,20240312 15:42:49,20240312 15:42:52
11,2,20240312 15:42:53,20240312 15:42:56
11,7,20240312 15:42:57,20240312 15:43:00
9,11,20240312 15:43:01,20240312 15:43:04
6,8,20240312 15:43:05,20240312 15:43:08
6,2,20240312 15:43:09,20240312 15:43:12
6,1,20240312 15:43:13,20240312 15:43:16
