positionX,positionY,start,end
1,1,20231117 17:16:00,20231117 17:20:00
1,2,20231117 17:21:00,20231117 17:25:00
1,3,20231117 17:26:00,20231117 17:30:00
1,4,20231117 17:31:00,20231117 17:35:00
1,5,20231117 17:36:00,20231117 17:40:00
1,6,20231117 17:41:00,20231117 17:45:00
1,7,20231117 17:52:00,20231117 17:56:00
1,8,20231117 17:57:00,20231117 18:01:00
1,9,20231117 18:02:00,20231117 18:06:00
1,10,20231117 18:07:00,20231117 18:11:00
6,1,20231117 18:16:00,20231117 18:20:00
6,2,20231117 18:21:00,20231117 18:25:00
6,3,20231117 18:26:00,20231117 18:30:00
6,4,20231117 18:31:00,20231117 18:35:00
6,5,20231117 18:36:00,20231117 18:40:00
6,6,20231117 18:41:00,20231117 18:45:00
6,7,20231117 18:46:00,20231117 18:50:00
6,8,20231117 18:51:00,20231117 18:55:00
6,9,20231117 18:56:00,20231117 19:00:00
6,10,20231117 19:01:00,20231117 19:05:00
11,1,20231117 19:12:00,20231117 19:16:00
11,2,20231117 19:17:00,20231117 19:21:00
11,3,20231117 19:22:00,20231117 19:26:00
11,4,20231117 19:27:00,20231117 19:31:00
11,5,20231117 19:32:00,20231117 19:36:00
11,6,20231117 19:37:00,20231117 19:41:00
11,7,20231117 19:42:00,20231117 19:46:00
11,8,20231117 19:47:00,20231117 19:51:00
11,9,20231117 19:52:00,20231117 19:56:00
11,10,20231117 19:57:00,20231117 20:01:00
1,11,20231117 20:09:00,20231117 20:13:00
2,11,20231117 20:14:00,20231117 20:18:00
3,11,20231117 20:19:00,20231117 20:23:00
4,11,20231117 20:24:00,20231117 20:28:00
5,11,20231117 20:29:00,20231117 20:33:00
6,11,20231117 20:34:00,20231117 20:38:00
7,11,20231117 20:39:00,20231117 20:43:00
8,11,20231117 20:44:00,20231117 20:48:00
9,11,20231117 20:50:00,20231117 20:54:00
10,11,20231117 20:55:00,20231117 20:59:00
11,11,20231117 21:00:00,20231117 21:04:00
