positionX,positionY,start,end
1,1,20240517 13:38:50,20240517 13:39:50
1,2,20240517 13:40:10,20240517 13:41:10
1,3,20240517 13:41:30,20240517 13:42:30
1,4,20240517 13:42:50,20240517 13:43:50
1,5,20240517 13:44:10,20240517 13:45:10
1,6,20240517 13:45:30,20240517 13:46:30
1,7,20240517 13:46:50,20240517 13:47:50
1,8,20240517 13:48:10,20240517 13:49:10
1,9,20240517 13:49:30,20240517 13:50:30
1,10,20240517 13:50:50,20240517 13:51:50
6,1,20240517 13:52:20,20240517 13:53:20
6,2,20240517 13:53:40,20240517 13:54:40
6,3,20240517 13:55:00,20240517 13:56:00
6,4,20240517 13:56:20,20240517 13:57:20
6,5,20240517 13:57:40,20240517 13:58:40
6,6,20240517 13:59:00,20240517 14:00:00
6,7,20240517 14:00:20,20240517 14:01:20
6,8,20240517 14:01:40,20240517 14:02:40
6,9,20240517 14:05:50,20240517 14:06:50
6,10,20240517 14:07:10,20240517 14:08:10
11,1,20240517 14:08:40,20240517 14:09:40
11,2,20240517 14:10:00,20240517 14:11:00
11,3,20240517 14:11:20,20240517 14:12:20
11,4,20240517 14:12:40,20240517 14:13:40
11,5,20240517 14:14:00,20240517 14:15:00
11,6,20240517 14:15:30,20240517 14:16:30
11,7,20240517 14:16:50,20240517 14:17:50
11,8,20240517 14:18:10,20240517 14:19:10
11,9,20240517 14:19:30,20240517 14:20:30
11,10,20240517 14:20:50,20240517 14:21:50
1,11,20240517 14:22:20,20240517 14:23:20
2,11,20240517 14:23:40,20240517 14:24:40
3,11,20240517 14:25:00,20240517 14:26:00
4,11,20240517 14:26:20,20240517 14:27:20
5,11,20240517 14:27:40,20240517 14:28:40
6,11,20240517 14:29:00,20240517 14:30:00
7,11,20240517 14:30:20,20240517 14:31:20
8,11,20240517 14:31:50,20240517 14:32:50
9,11,20240517 14:33:10,20240517 14:34:10
10,11,20240517 14:34:30,20240517 14:35:30
11,11,20240517 14:35:50,20240517 14:36:50
